grant_id,user_id,entitlement,privileged,granted_at,approved_by,grant_status,temporary,expires_at
G00002,U0001,PAYMENT_INITIATE,False,2024-05-07,U0006,active,False,
G00003,U0001,DEV_DEPLOY,True,2024-08-09,U0234,active,False,
G00004,U0001,SEC_CONFIG,True,2025-10-15,U0006,active,False,
G00005,U0002,SEC_CONFIG,True,2024-03-30,U0296,active,False,
G00006,U0002,USER_ADMIN,True,2024-08-31,U0197,active,False,
G00007,U0003,DWH_QUERY,False,2025-02-21,U0114,active,False,
G00008,U0003,PROD_ADMIN,True,2024-08-06,U0158,active,False,
G00009,U0003,GL_CLOSE,True,2025-01-19,U0149,active,False,
G00010,U0003,PAYMENT_APPROVE,True,2024-08-27,U0110,active,False,
G00011,U0004,DEV_DEPLOY,True,2026-04-25,U0176,active,False,
G00012,U0004,CORE_TELLER,False,2024-09-20,U0239,active,False,
G00013,U0005,CORE_VIEW,False,2025-05-26,U0079,active,False,
G00014,U0005,DEV_DEPLOY,True,2025-02-22,U0204,active,False,
G00015,U0005,PAYMENT_APPROVE,True,2025-02-27,U0219,active,False,
G00016,U0006,DB_ADMIN,True,2024-02-16,U0149,active,False,
G00017,U0006,REPORT_VIEW,False,2025-08-03,U0046,active,False,
G00018,U0006,GL_CLOSE,True,2026-01-15,U0158,active,False,
G00019,U0007,GL_POST,False,2025-09-02,U0176,active,False,
G00020,U0007,CORE_VIEW,False,2024-05-20,U0290,active,False,
G00021,U0007,SEC_CONFIG,True,2024-10-02,U0183,active,True,2026-07-15
G00022,U0007,REPORT_VIEW,False,2025-05-23,U0149,active,False,
G00023,U0008,DB_ADMIN,True,2024-07-01,U0110,active,False,
G00024,U0008,USER_ADMIN,True,2025-06-28,U0296,active,False,
G00025,U0008,CORE_TELLER,False,2024-02-23,U0296,active,False,
G00026,U0008,GL_CLOSE,True,2025-09-13,U0043,active,False,
G00027,U0009,REPORT_VIEW,False,2026-06-03,U0250,active,False,
G00028,U0009,DWH_QUERY,False,2024-01-16,U0250,active,False,
G00029,U0009,PAYMENT_APPROVE,True,2025-11-26,U0250,active,False,
G00030,U0009,PROD_ADMIN,True,2026-03-20,U0183,active,False,
G00031,U0010,CRM_AGENT,False,2024-10-07,U0110,active,False,
G00032,U0010,PAYMENT_INITIATE,False,2024-12-29,U0166,active,False,
G00033,U0010,SEC_CONFIG,True,2024-12-04,U0006,active,False,
G00034,U0011,PAYMENT_APPROVE,True,2025-05-07,U0212,active,False,
G00035,U0011,PROD_ADMIN,True,2025-08-03,U0219,active,False,
G00036,U0012,PAYMENT_INITIATE,False,2024-11-13,U0105,active,False,
G00037,U0012,DB_ADMIN,True,2025-10-06,U0043,active,False,
G00038,U0013,CRM_AGENT,False,2025-07-31,U0204,active,False,
G00039,U0013,SEC_CONFIG,True,2026-05-18,U0238,active,False,
G00040,U0013,PAYMENT_APPROVE,True,2025-05-13,U0251,active,False,
G00041,U0014,GL_CLOSE,True,2025-11-25,U0234,active,False,
G00042,U0015,REPORT_VIEW,False,2024-12-30,U0010,active,False,
G00043,U0015,CORE_TELLER,False,2026-03-11,U0058,active,False,
G00044,U0015,CRM_AGENT,False,2025-05-16,U0239,active,False,
G00045,U0016,REPORT_VIEW,False,2024-03-02,U0234,active,False,
G00046,U0016,DB_ADMIN,True,2026-05-29,U0219,active,False,
G00047,U0017,CRM_AGENT,False,2024-05-01,U0296,active,False,
G00048,U0017,DWH_QUERY,False,2025-10-07,U0239,active,False,
G00049,U0018,CRM_AGENT,False,2024-03-08,U0234,revoked,False,
G00050,U0018,DWH_QUERY,False,2025-01-14,U0251,revoked,False,
