event_id,user_id,system,timestamp,success
L000001,U0001,core-banking,2026-05-19 15:53:00,True
L000002,U0001,data-warehouse,2026-04-23 15:04:00,True
L000003,U0001,core-banking,2026-04-09 13:59:00,True
L000004,U0001,crm,2026-06-23 15:40:00,True
L000005,U0001,card-switch,2026-04-20 09:36:00,True
L000006,U0001,core-banking,2026-06-23 14:51:00,True
L000007,U0001,data-warehouse,2026-05-21 14:15:00,True
L000008,U0001,data-warehouse,2026-05-24 13:51:00,True
L000009,U0001,core-banking,2026-04-24 13:19:00,True
L000010,U0001,core-banking,2026-05-25 12:02:00,True
L000011,U0001,card-switch,2026-05-08 14:33:00,True
L000012,U0001,crm,2026-04-18 20:00:00,True
L000013,U0001,data-warehouse,2026-05-10 11:50:00,True
L000014,U0001,gl-system,2026-05-15 14:18:00,True
L000015,U0001,card-switch,2026-06-17 21:55:00,True
L000016,U0001,gl-system,2026-05-12 10:20:00,True
L000017,U0001,payments-gateway,2026-06-30 13:04:00,True
L000018,U0001,data-warehouse,2026-06-08 10:23:00,True
L000019,U0001,core-banking,2026-06-08 14:11:00,True
L000020,U0001,core-banking,2026-05-10 10:28:00,True
L000021,U0001,payments-gateway,2026-04-28 14:59:00,True
L000022,U0001,core-banking,2026-04-14 14:55:00,True
L000023,U0001,card-switch,2026-05-10 10:55:00,True
L000024,U0001,card-switch,2026-06-03 09:44:00,True
L000025,U0001,card-switch,2026-05-13 13:53:00,True
L000026,U0001,gl-system,2026-04-29 14:06:00,True
L000027,U0001,crm,2026-05-10 07:39:00,True
L000028,U0001,core-banking,2026-04-07 13:29:00,True
L000029,U0001,card-switch,2026-04-08 14:22:00,True
L000030,U0001,payments-gateway,2026-06-05 09:32:00,True
L000031,U0001,payments-gateway,2026-06-15 12:11:00,True
L000032,U0001,gl-system,2026-05-06 10:41:00,True
L000033,U0001,payments-gateway,2026-06-30 14:22:00,True
L000034,U0001,crm,2026-04-06 11:54:00,True
L000035,U0001,gl-system,2026-04-29 15:25:00,True
L000036,U0001,gl-system,2026-04-04 18:26:00,True
L000037,U0001,core-banking,2026-04-29 12:45:00,True
L000038,U0001,gl-system,2026-04-27 13:55:00,True
L000039,U0001,core-banking,2026-05-09 09:50:00,True
L000040,U0001,data-warehouse,2026-06-28 14:09:00,True
L000041,U0001,data-warehouse,2026-05-19 09:25:00,True
L000042,U0001,core-banking,2026-06-01 10:41:00,True
L000043,U0001,payments-gateway,2026-04-28 10:45:00,True
L000044,U0001,gl-system,2026-06-05 10:35:00,True
L000045,U0001,core-banking,2026-05-08 11:17:00,True
L000046,U0001,crm,2026-04-27 12:57:00,True
L000047,U0001,payments-gateway,2026-06-03 15:45:00,True
L000048,U0001,gl-system,2026-05-19 09:47:00,True
L000049,U0001,gl-system,2026-06-05 14:35:00,True
L000050,U0001,payments-gateway,2026-04-03 13:00:00,True
L000051,U0001,core-banking,2026-06-18 14:17:00,True
L000052,U0001,core-banking,2026-04-24 11:50:00,True
L000053,U0001,payments-gateway,2026-06-29 15:24:00,True
L000054,U0001,payments-gateway,2026-06-08 08:07:00,True
L000055,U0001,core-banking,2026-05-25 16:29:00,True
L000056,U0001,card-switch,2026-05-29 13:44:00,True
L000057,U0001,gl-system,2026-06-13 20:52:00,True
L000058,U0001,core-banking,2026-05-11 14:41:00,True
L000059,U0001,core-banking,2026-04-07 16:17:00,True
L000060,U0001,core-banking,2026-06-26 10:04:00,False
L000061,U0001,crm,2026-04-13 10:03:00,True
L000062,U0001,crm,2026-06-10 14:17:00,True
L000063,U0001,card-switch,2026-06-29 17:30:00,True
L000064,U0001,card-switch,2026-06-18 13:17:00,True
L000065,U0001,crm,2026-06-21 14:39:00,True
L000066,U0001,gl-system,2026-06-08 20:20:00,True
L000067,U0001,crm,2026-05-24 16:19:00,True
L000068,U0001,data-warehouse,2026-06-09 14:48:00,True
L000069,U0001,data-warehouse,2026-05-11 16:08:00,True
L000070,U0001,core-banking,2026-04-16 13:34:00,True
L000071,U0001,payments-gateway,2026-06-05 21:45:00,True
L000072,U0001,gl-system,2026-06-27 15:50:00,True
L000073,U0001,payments-gateway,2026-04-17 12:21:00,True
L000074,U0001,payments-gateway,2026-05-09 12:23:00,True
L000075,U0001,payments-gateway,2026-05-27 15:33:00,True
L000076,U0001,crm,2026-04-21 13:23:00,True
L000077,U0001,data-warehouse,2026-05-15 14:33:00,True
L000078,U0001,data-warehouse,2026-06-02 18:54:00,True
L000079,U0001,card-switch,2026-06-14 21:32:00,True
L000080,U0001,core-banking,2026-06-22 11:08:00,True
L000081,U0001,crm,2026-04-24 12:07:00,True
L000082,U0001,crm,2026-04-24 11:55:00,True
L000083,U0001,payments-gateway,2026-06-26 13:41:00,True
L000084,U0001,gl-system,2026-04-24 15:52:00,True
L000085,U0001,core-banking,2026-04-10 11:41:00,True
L000086,U0001,crm,2026-05-10 16:40:00,True
L000087,U0001,crm,2026-05-18 07:09:00,True
L000088,U0001,core-banking,2026-05-14 09:03:00,True
L000089,U0001,card-switch,2026-04-16 14:34:00,True
L000090,U0001,crm,2026-05-03 13:17:00,True
L000091,U0001,crm,2026-04-07 10:32:00,True
