deploy_id,system,deployed_at,change_id
D00001,crm,2026-05-08 02:00:00,CHG00001
D00002,card-switch,2026-05-08 00:00:00,CHG00002
D00003,crm,2026-05-26 19:00:00,CHG00003
D00004,data-warehouse,2026-05-16 16:00:00,CHG00004
D00005,card-switch,2026-06-26 19:00:00,CHG00005
D00006,core-banking,2026-05-15 22:00:00,CHG00006
D00007,payments-gateway,2026-04-23 11:00:00,CHG00007
D00008,payments-gateway,2026-04-17 18:00:00,CHG00008
D00009,card-switch,2026-04-11 16:00:00,CHG00009
D00010,gl-system,2026-04-07 14:00:00,CHG00010
D00011,gl-system,2026-06-26 01:00:00,CHG00011
D00012,card-switch,2026-04-12 15:00:00,CHG00012
D00013,core-banking,2026-04-21 05:00:00,CHG00013
D00014,card-switch,2026-06-22 23:00:00,CHG00014
D00015,crm,2026-06-13 07:00:00,CHG00015
D00016,gl-system,2026-04-11 20:00:00,CHG00016
D00017,core-banking,2026-05-16 18:00:00,CHG00017
D00018,gl-system,2026-06-17 00:00:00,CHG00018
D00019,card-switch,2026-06-23 05:00:00,CHG00019
D00020,card-switch,2026-06-16 17:00:00,CHG00020
D00021,core-banking,2026-04-15 19:00:00,CHG00021
D00023,gl-system,2026-06-29 05:00:00,CHG00023
D00024,crm,2026-04-17 03:00:00,CHG00024
D00025,data-warehouse,2026-06-20 08:00:00,CHG00025
D00027,payments-gateway,2026-05-17 08:00:00,CHG00027
D00029,crm,2026-05-08 03:00:00,CHG00029
D00030,payments-gateway,2026-04-19 13:00:00,CHG00030
D00031,gl-system,2026-06-22 04:00:00,CHG00031
D00032,payments-gateway,2026-06-25 23:00:00,CHG00032
D00034,core-banking,2026-04-17 10:00:00,CHG00034
D00035,gl-system,2026-04-27 19:00:00,CHG00035
D00036,gl-system,2026-05-02 19:00:00,CHG00036
D00037,payments-gateway,2026-04-11 14:00:00,CHG00037
D00038,card-switch,2026-05-20 00:00:00,CHG00038
D00039,crm,2026-05-19 22:00:00,CHG00039
D00040,crm,2026-04-19 05:00:00,CHG00040
D00041,card-switch,2026-04-28 11:00:00,CHG00041
D00042,gl-system,2026-04-10 15:00:00,CHG00042
D00043,crm,2026-05-31 23:00:00,CHG00043
D00044,gl-system,2026-05-12 10:00:00,CHG00044
D00045,card-switch,2026-05-22 22:00:00,CHG00045
D00046,core-banking,2026-06-20 14:00:00,CHG00046
D00047,data-warehouse,2026-06-20 14:00:00,CHG00047
D00048,card-switch,2026-06-20 23:00:00,CHG00048
D00049,card-switch,2026-06-21 14:00:00,CHG00049
D00050,gl-system,2026-05-24 17:00:00,CHG00050
D00051,crm,2026-04-12 00:00:00,CHG00051
D00052,card-switch,2026-06-19 18:00:00,CHG00052
D00053,payments-gateway,2026-06-15 09:00:00,CHG00053
