ledger_row_id,txn_id,account_id,amount,currency,booked_at,reconciled
LR0000001,T0000001,A00352,1263.72,USD,2026-04-20,True
LR0000002,T0000002,A00011,85.45,USD,2026-05-31,True
LR0000003,T0000003,A00211,79.1,USD,2026-05-12,True
LR0000004,T0000004,A00246,220.34,USD,2026-05-14,True
LR0000005,T0000005,A00353,177.12,USD,2026-06-07,True
LR0000006,T0000006,A00028,23.01,USD,2026-04-30,True
LR0000007,T0000007,A00098,131.18,USD,2026-06-02,True
LR0000008,T0000008,A00293,591.61,USD,2026-06-21,True
LR0000009,T0000009,A00087,157.56,USD,2026-04-30,True
LR0000010,T0000010,A00145,255.96,USD,2026-04-11,True
LR0000011,T0000011,A00058,64.35,USD,2026-04-14,True
LR0000012,T0000012,A00118,400.7,USD,2026-06-04,True
LR0000013,T0000013,A00387,536.34,USD,2026-05-14,True
LR0000014,T0000014,A00103,1929.05,USD,2026-06-17,True
LR0000015,T0000015,A00302,171.85,USD,2026-05-13,True
LR0000016,T0000016,A00334,187.67,USD,2026-04-22,True
LR0000017,T0000017,A00172,656.21,USD,2026-04-17,True
LR0000018,T0000018,A00376,217.82,USD,2026-04-03,True
LR0000019,T0000019,A00196,652.63,USD,2026-04-29,True
LR0000020,T0000020,A00037,751.56,USD,2026-06-02,True
LR0000021,T0000021,A00364,60.46,USD,2026-06-17,True
LR0000022,T0000022,A00052,56.58,USD,2026-05-25,True
LR0000023,T0000023,A00035,119.83,USD,2026-05-19,True
LR0000024,T0000024,A00292,24.23,USD,2026-06-15,True
LR0000025,T0000025,A00395,3635.18,USD,2026-05-06,True
LR0000026,T0000026,A00367,45.37,USD,2026-06-29,True
LR0000027,T0000027,A00394,1360.46,USD,2026-06-15,True
LR0000028,T0000028,A00371,63.9,USD,2026-06-19,True
LR0000029,T0000029,A00112,1222.42,USD,2026-06-11,True
LR0000030,T0000030,A00351,1418.61,USD,2026-04-06,True
LR0000031,T0000031,A00350,23.85,USD,2026-04-05,True
LR0000032,T0000032,A00159,231.38,USD,2026-04-13,True
LR0000033,T0000033,A00288,2960.7,USD,2026-04-05,True
LR0000034,T0000034,A00006,311.95,USD,2026-04-21,True
LR0000035,T0000035,A00277,957.54,USD,2026-06-08,True
LR0000036,T0000036,A00003,389.76,USD,2026-04-08,True
LR0000037,T0000037,A00129,939.06,USD,2026-04-06,True
LR0000038,T0000038,A00002,1590.82,USD,2026-05-06,True
LR0000039,T0000039,A00238,208.97,USD,2026-05-23,True
LR0000040,T0000040,A00204,272.2,USD,2026-05-27,True
LR0000041,T0000041,A00328,174.57,USD,2026-06-20,True
LR0000042,T0000042,A00117,47.8,USD,2026-06-08,True
LR0000043,T0000043,A00301,723.16,USD,2026-06-16,True
LR0000044,T0000044,A00391,302.91,USD,2026-04-24,True
LR0000045,T0000045,A00242,1577.83,USD,2026-06-26,True
LR0000046,T0000046,A00258,4123.88,USD,2026-04-30,True
LR0000047,T0000047,A00360,127.5,USD,2026-05-06,True
LR0000048,T0000048,A00330,151.9,USD,2026-05-19,True
LR0000049,T0000049,A00275,113.71,USD,2026-06-14,True
LR0000050,T0000050,A00362,2060.11,USD,2026-05-06,True
LR0000051,T0000051,A00263,39.51,USD,2026-05-14,True
LR0000052,T0000052,A00151,437.55,USD,2026-05-05,True
LR0000053,T0000053,A00045,33.82,USD,2026-06-06,True
LR0000054,T0000054,A00047,2125.42,USD,2026-05-23,True
LR0000055,T0000055,A00381,750.35,USD,2026-05-10,True
LR0000056,T0000056,A00011,111.74,USD,2026-06-13,True
LR0000057,T0000057,A00340,3366.31,USD,2026-04-04,True
LR0000058,T0000058,A00324,88.47,USD,2026-06-12,True
LR0000059,T0000059,A00378,320.95,USD,2026-06-20,True
LR0000060,T0000060,A00013,12.38,USD,2026-06-20,True
LR0000061,T0000061,A00366,650.54,USD,2026-06-28,True
LR0000062,T0000062,A00227,164.53,USD,2026-06-20,True
LR0000063,T0000063,A00369,197.7,USD,2026-04-15,True
LR0000064,T0000064,A00210,70.11,USD,2026-05-27,True
LR0000065,T0000065,A00332,57.79,USD,2026-05-17,True
LR0000066,T0000066,A00200,125.75,USD,2026-06-12,True
LR0000067,T0000067,A00146,1642.56,USD,2026-05-09,True
LR0000068,T0000068,A00389,479.47,USD,2026-06-27,True
