source_id,system,log_source,last_event_at
SRC000,core-banking,app,2026-06-30 19:29:27.773179742
SRC001,core-banking,db,2026-06-26 16:29:56.473310437
SRC002,core-banking,os,2026-06-30 18:15:17.451810758
SRC003,core-banking,security,2026-06-30 17:38:47.834287740
SRC004,payments-gateway,app,2026-06-30 20:48:03.627775173
SRC005,payments-gateway,db,2026-06-26 10:35:09.970082956
SRC006,payments-gateway,os,2026-06-30 23:26:59.932390603
SRC007,payments-gateway,security,2026-06-30 17:47:21.742660418
SRC008,card-switch,app,2026-06-30 17:51:08.819628874
SRC009,card-switch,db,2026-06-30 16:13:17.444556745
SRC010,card-switch,os,2026-06-30 22:23:47.288255207
SRC011,card-switch,security,2026-06-26 12:03:24.650318369
SRC012,gl-system,app,2026-06-30 16:36:35.290333739
SRC013,gl-system,db,2026-06-26 18:41:37.591133255
SRC014,gl-system,os,2026-06-30 19:04:11.373823387
SRC015,gl-system,security,2026-06-30 16:21:23.573833943
SRC016,crm,app,2026-06-30 18:31:46.724723278
SRC017,crm,db,2026-06-30 21:43:59.819451410
SRC018,crm,os,2026-06-30 22:49:21.385757143
SRC019,crm,security,2026-06-30 21:07:21.658145529
SRC020,data-warehouse,app,2026-06-30 18:35:56.933927085
SRC021,data-warehouse,db,2026-06-30 16:23:27.170650511
SRC022,data-warehouse,os,2026-06-30 23:18:09.318345653
SRC023,data-warehouse,security,2026-06-30 20:25:11.179196803
