settlement_row_id,txn_id,settle_amount,settled_at
SR0000001,T0000001,1263.72,2026-04-20
SR0000002,T0000002,85.45,2026-05-31
SR0000003,T0000003,79.1,2026-05-12
SR0000004,T0000004,220.34,2026-05-14
SR0000005,T0000005,177.12,2026-06-07
SR0000006,T0000006,23.01,2026-04-30
SR0000007,T0000007,131.18,2026-06-02
SR0000008,T0000008,591.61,2026-06-21
SR0000009,T0000009,157.56,2026-04-30
SR0000010,T0000010,255.96,2026-04-11
SR0000011,T0000011,64.35,2026-04-14
SR0000012,T0000012,400.7,2026-06-04
SR0000013,T0000013,536.34,2026-05-14
SR0000014,T0000014,1929.05,2026-06-17
SR0000015,T0000015,171.85,2026-05-13
SR0000016,T0000016,187.67,2026-04-22
SR0000017,T0000017,656.21,2026-04-17
SR0000018,T0000018,217.82,2026-04-03
SR0000019,T0000019,652.63,2026-04-29
SR0000020,T0000020,751.56,2026-06-02
SR0000021,T0000021,60.46,2026-06-17
SR0000022,T0000022,56.58,2026-05-25
SR0000023,T0000023,119.83,2026-05-19
SR0000024,T0000024,24.23,2026-06-15
SR0000025,T0000025,3635.18,2026-05-06
SR0000026,T0000026,45.37,2026-06-29
SR0000027,T0000027,1360.46,2026-06-15
SR0000028,T0000028,63.9,2026-06-19
SR0000029,T0000029,1222.42,2026-06-11
SR0000030,T0000030,1418.61,2026-04-06
SR0000031,T0000031,23.85,2026-04-05
SR0000032,T0000032,231.38,2026-04-13
SR0000033,T0000033,2960.7,2026-04-05
SR0000034,T0000034,311.95,2026-04-21
SR0000035,T0000035,957.54,2026-06-08
SR0000036,T0000036,389.76,2026-04-08
SR0000037,T0000037,939.06,2026-04-06
SR0000038,T0000038,1590.82,2026-05-06
SR0000039,T0000039,208.97,2026-05-23
SR0000040,T0000040,272.2,2026-05-27
SR0000041,T0000041,174.57,2026-06-20
SR0000042,T0000042,47.8,2026-06-08
SR0000043,T0000043,723.16,2026-06-16
SR0000044,T0000044,302.91,2026-04-24
SR0000045,T0000045,1577.83,2026-06-26
SR0000046,T0000046,4123.88,2026-04-30
SR0000047,T0000047,127.5,2026-05-06
SR0000048,T0000048,151.9,2026-05-19
SR0000049,T0000049,113.71,2026-06-14
SR0000050,T0000050,2060.11,2026-05-06
SR0000051,T0000051,39.51,2026-05-14
SR0000052,T0000052,437.55,2026-05-05
SR0000053,T0000053,33.82,2026-06-06
SR0000054,T0000054,2125.42,2026-05-23
SR0000055,T0000055,750.35,2026-05-10
SR0000056,T0000056,111.74,2026-06-13
SR0000057,T0000057,3366.31,2026-04-04
SR0000058,T0000058,88.47,2026-06-12
SR0000059,T0000059,320.95,2026-06-20
SR0000060,T0000060,12.38,2026-06-20
SR0000061,T0000061,650.54,2026-06-28
SR0000062,T0000062,164.53,2026-06-20
SR0000063,T0000063,197.7,2026-04-15
SR0000064,T0000064,70.11,2026-05-27
SR0000065,T0000065,57.79,2026-05-17
SR0000066,T0000066,125.75,2026-06-12
SR0000067,T0000067,1642.56,2026-05-09
SR0000068,T0000068,479.47,2026-06-27
SR0000069,T0000069,80.14,2026-06-05
SR0000070,T0000070,12.02,2026-06-01
SR0000071,T0000071,4212.82,2026-05-19
SR0000072,T0000072,8.48,2026-06-20
SR0000073,T0000073,1318.33,2026-05-18
SR0000074,T0000074,540.35,2026-04-29
SR0000075,T0000075,204.8,2026-04-05
SR0000076,T0000076,121.04,2026-05-17
SR0000077,T0000077,789.96,2026-04-23
SR0000078,T0000078,1250.82,2026-06-28
SR0000079,T0000079,1266.62,2026-06-20
SR0000080,T0000080,1287.71,2026-06-17
SR0000081,T0000081,32.65,2026-06-19
SR0000082,T0000082,104.26,2026-06-29
SR0000083,T0000083,111.49,2026-04-17
SR0000084,T0000084,293.41,2026-06-08
SR0000085,T0000085,402.88,2026-06-18
SR0000086,T0000086,1212.22,2026-06-17
SR0000087,T0000087,260.48,2026-04-07
SR0000088,T0000088,809.36,2026-06-22
SR0000089,T0000089,165.04,2026-06-28
SR0000090,T0000090,4830.46,2026-06-13
SR0000091,T0000091,111.18,2026-05-01
SR0000092,T0000092,108.56,2026-05-01
SR0000093,T0000093,393.89,2026-06-15
SR0000094,T0000094,1372.9,2026-06-30
SR0000095,T0000095,91.88,2026-05-13
SR0000096,T0000096,179.85,2026-06-16
SR0000097,T0000097,163.62,2026-05-29
SR0000098,T0000098,64.3,2026-05-14
SR0000099,T0000099,125.7,2026-04-15
SR0000100,T0000100,104.28,2026-06-04
SR0000101,T0000101,1750.71,2026-06-24
SR0000102,T0000102,342.49,2026-05-20
SR0000103,T0000103,134.45,2026-06-02
SR0000104,T0000104,3728.38,2026-04-04
SR0000105,T0000105,3453.73,2026-06-06
SR0000106,T0000106,3035.68,2026-06-07
SR0000107,T0000107,145.42,2026-06-12
SR0000108,T0000108,1156.64,2026-04-15
SR0000109,T0000109,5474.66,2026-06-29
SR0000110,T0000110,156.91,2026-07-01
SR0000111,T0000111,201.09,2026-06-26
SR0000112,T0000112,147.68,2026-05-30
SR0000113,T0000113,369.1,2026-05-10
SR0000114,T0000114,3494.81,2026-06-06
SR0000115,T0000115,297.95,2026-05-03
SR0000116,T0000116,123.66,2026-05-04
SR0000117,T0000117,236.71,2026-07-01
SR0000118,T0000118,1421.64,2026-04-04
SR0000119,T0000119,5.16,2026-06-19
SR0000120,T0000120,466.08,2026-05-09
SR0000121,T0000121,197.45,2026-06-11
SR0000122,T0000122,109.06,2026-05-16
SR0000123,T0000123,23.12,2026-06-03
SR0000124,T0000124,642.08,2026-04-28
SR0000125,T0000125,179.36,2026-04-11
SR0000126,T0000126,512.99,2026-07-01
SR0000127,T0000127,55.72,2026-04-18
SR0000128,T0000128,18.91,2026-04-24
SR0000129,T0000129,48.85,2026-05-13
SR0000130,T0000130,197.58,2026-06-22
SR0000131,T0000131,21.27,2026-04-30
SR0000132,T0000132,331.0,2026-04-09
SR0000133,T0000133,2789.52,2026-05-02
SR0000134,T0000134,8.24,2026-04-11
SR0000135,T0000135,99.98,2026-04-05
SR0000136,T0000136,212.0,2026-05-29
SR0000137,T0000137,206.13,2026-04-06
SR0000138,T0000138,1693.59,2026-07-01
SR0000139,T0000139,148.68,2026-04-23
SR0000140,T0000140,179.33,2026-06-08
SR0000141,T0000141,161.74,2026-06-09
SR0000142,T0000142,530.34,2026-04-19
SR0000143,T0000143,2706.31,2026-04-11
SR0000144,T0000144,271.3,2026-06-01
SR0000145,T0000145,2308.06,2026-06-06
SR0000146,T0000146,308.74,2026-05-26
SR0000147,T0000147,46.1,2026-05-18
SR0000148,T0000148,1285.41,2026-05-03
SR0000149,T0000149,262.11,2026-05-10
SR0000150,T0000150,2002.86,2026-06-06
SR0000151,T0000151,858.02,2026-05-03
SR0000152,T0000152,997.49,2026-05-06
SR0000153,T0000153,92.96,2026-04-28
SR0000154,T0000154,70.37,2026-05-22
SR0000155,T0000155,285.66,2026-05-13
SR0000156,T0000156,40.46,2026-04-03
SR0000157,T0000157,59.5,2026-05-16
SR0000158,T0000158,94.49,2026-04-05
SR0000159,T0000159,48.58,2026-05-24
SR0000160,T0000160,232.36,2026-05-17
SR0000161,T0000161,278.67,2026-06-25
SR0000162,T0000162,129.36,2026-05-25
SR0000163,T0000163,47.1,2026-06-19
SR0000164,T0000164,84.42,2026-06-30
SR0000165,T0000165,371.84,2026-05-28
SR0000166,T0000166,191.01,2026-06-01
SR0000167,T0000167,311.24,2026-06-01
SR0000168,T0000168,77.17,2026-04-27
SR0000169,T0000169,484.13,2026-06-23
SR0000170,T0000170,804.73,2026-04-23
SR0000171,T0000171,43.26,2026-05-26
SR0000172,T0000172,142.2,2026-06-17
SR0000173,T0000173,26.53,2026-06-19
SR0000174,T0000174,853.06,2026-04-11
SR0000175,T0000175,6076.25,2026-06-04
SR0000176,T0000176,955.81,2026-06-17
SR0000177,T0000177,219.64,2026-05-29
SR0000178,T0000178,336.68,2026-04-14
SR0000179,T0000179,600.23,2026-05-30
SR0000180,T0000180,46.01,2026-05-25
SR0000181,T0000181,291.36,2026-04-15
SR0000182,T0000182,260.95,2026-06-10
SR0000183,T0000183,196.98,2026-04-06
SR0000184,T0000184,148.73,2026-04-29
SR0000185,T0000185,305.15,2026-06-27
SR0000186,T0000186,65.83,2026-04-15
SR0000187,T0000187,93.86,2026-05-07
SR0000188,T0000188,396.62,2026-04-06
SR0000189,T0000189,253.44,2026-05-12
SR0000190,T0000190,275.09,2026-04-24
SR0000191,T0000191,1047.9,2026-05-24
SR0000192,T0000192,233.19,2026-04-06
SR0000193,T0000193,200.38,2026-07-01
SR0000194,T0000194,671.68,2026-05-27
SR0000195,T0000195,3198.34,2026-06-16
SR0000196,T0000196,139.7,2026-04-11
SR0000197,T0000197,509.39,2026-04-11
SR0000198,T0000198,187.76,2026-05-20
SR0000199,T0000199,71.56,2026-04-29
SR0000200,T0000200,260.78,2026-06-20
SR0000201,T0000201,632.73,2026-05-18
SR0000202,T0000202,83.89,2026-04-06
SR0000203,T0000203,1289.19,2026-06-16
SR0000204,T0000204,155.98,2026-06-18
SR0000205,T0000205,144.97,2026-04-03
SR0000206,T0000206,770.87,2026-06-23
SR0000207,T0000207,393.33,2026-05-13
SR0000208,T0000208,96.84,2026-06-04
SR0000209,T0000209,43.3,2026-04-03
SR0000210,T0000210,2976.78,2026-05-12
SR0000211,T0000211,345.37,2026-04-06
SR0000212,T0000212,3718.48,2026-06-03
SR0000213,T0000213,135.93,2026-05-11
SR0000214,T0000214,430.76,2026-05-09
SR0000215,T0000215,48.15,2026-05-17
SR0000216,T0000216,66.06,2026-05-09
SR0000217,T0000217,147.85,2026-06-14
